"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"360","Ambrosia artemisiifolia","Ambrosia artemisiifolia"
"361","Arrhenatherum elatius","Arrhenatherum elatius"
"362","Schedonorus arundinaceus","Schedonorus arundinaceus"
"363","Setaria pumila","Setaria pumila"
"364","Muhlenbergia schreberi","Muhlenbergia schreberi"
"365","Tridens flavus","Tridens flavus"
"366","Trifolium repens","Trifolium repens"
"367","Solanum carolinense","Solanum carolinense"
"368","Andropogon virginicus","Andropogon virginicus"
"369","Digitaria ischaemum","Digitaria ischaemum"
"370","Poa pratensis","Poa pratensis"
"371","Solidago caesia","Solidago caesia"
"372","Digitaria ciliaris","Digitaria ciliaris"
"373","Andropogon virginicus","Andropogon virginicus"
"374","Elymus repens","Elymus repens"
"375","Anagallis arvensis","Anagallis arvensis"
"376","Panicum anceps","Panicum anceps"
"377","Bromus arvensis","Bromus arvensis"
"378","Dactylis glomerata","Dactylis glomerata"
"379","Ranunculus bulbosus","Ranunculus bulbosus"
"380","Dactylis glomerata","Dactylis glomerata"
"381","Polygonum aviculare","Polygonum aviculare"
"382","Carex brevior","Carex brevior"
"383","Rhamnus davurica","Rhamnus davurica"
"384","Conyza canadensis","Conyza canadensis"
"385","Digitaria sanguinalis","Digitaria sanguinalis"
"386","Echinochloa crus-galli","Echinochloa crus-galli"
"387","Erigeron strigosus","Erigeron strigosus"
"388","Physalis longifolia","Physalis longifolia"
"389","Teucrium canadense","Teucrium canadense"
"390","Chamaesyce nutans","Chamaesyce nutans"
"391","Apocynum cannabinum","Apocynum cannabinum"
"392","Asclepias syriaca","Asclepias syriaca"
"393","Hypericum punctatum","Hypericum punctatum"
"394","Kummerowia striata","Kummerowia striata"
"395","Botrychium dissectum","Botrychium dissectum"
"396","Equisetum hyemale","Equisetum hyemale"
"397","Boehmeria cylindrica","Boehmeria cylindrica"
"398","Carex frankii","Carex frankii"
"399","Carex vulpinoidea","Carex vulpinoidea"
"400","Glechoma hederacea","Glechoma hederacea"
"401","Carex molestiformis","Carex molestiformis"
"402","Carex cephalophora","Carex cephalophora"
"403","Erigeron annuus","Erigeron annuus"
"404","Lepidium virginicum","Lepidium virginicum"
"405","Ipomoea pandurata","Ipomoea pandurata"
"406","Saccharum baldwinii","Saccharum baldwinii"
"407","Verbascum thapsus","Verbascum thapsus"
"408","Symphyotrichum lanceolatum","Symphyotrichum lanceolatum"
"409","Barbarea vulgaris","Barbarea vulgaris"
"410","Lactuca canadensis","Lactuca canadensis"
"411","Melilotus officinalis","Melilotus officinalis"
"412","Mollugo verticillata","Mollugo verticillata"
"413","Pseudognaphalium obtusifolium","Pseudognaphalium obtusifolium"
"414","Robinia pseudoacacia","Robinia pseudoacacia"
"415","Silene antirrhina","Silene antirrhina"
"416","Silene latifolia","Silene latifolia"
"417","Carduus nutans","Carduus nutans"
"418","Cornus florida","Cornus florida"
"419","Anthemis arvensis","Anthemis arvensis"
"420","Muscari botryoides","Muscari botryoides"
"421","Triodanis perfoliata","Triodanis perfoliata"
"422","Polygonum pensylvanicum","Polygonum pensylvanicum"
"423","Dichanthelium clandestinum","Dichanthelium clandestinum"
"424","Symphyotrichum lateriflorum","Symphyotrichum lateriflorum"
"425","Cyperus strigosus","Cyperus strigosus"
"426","Cyperus lupulinus","Cyperus lupulinus"
"427","Morus rubra","Morus rubra"
"428","Ipomoea hederacea","Ipomoea hederacea"
"429","Quercus rubra","Quercus rubra"
"430","Eragrostis hirsuta","Eragrostis hirsuta"
"431","Rumex acetosella","Rumex acetosella"
"432","Carex rosea","Carex rosea"
"433","Carex radiata","Carex radiata"
"434","Carex swanii","Carex swanii"
"435","Ranunculus abortivus","Ranunculus abortivus"
"436","Podophyllum peltatum","Podophyllum peltatum"
"437","Carya cordiformis","Carya cordiformis"
"438","Stellaria media","Stellaria media"
"439","Calystegia sepium","Calystegia sepium"
"440","Potentilla simplex","Potentilla simplex"
