"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"3095","Elaphoglossum pellucidum","Elaphoglossum pellucidum"
"3096","Setaria palmifolia","Setaria palmifolia"
"3097","Erechtites valerianifolia","Erechtites valerianifolia"
"3098","Perrottetia sandwicensis","Perrottetia sandwicensis"
"3099","Selaginella umbrosa","Selaginella umbrosa"
"3100","Coprosma rhynchocarpa","Coprosma rhynchocarpa"
"3101","Pennisetum clandestinum","Pennisetum clandestinum"
"3102","Machaerina angustifolia","Machaerina angustifolia"
"3103","Juncus planifolius","Juncus planifolius"
"3104","Leucopoa kingii","Leucopoa kingii"
"3105","Arceuthobium americanum","Arceuthobium americanum"
"3106","Fragaria vesca","Fragaria vesca"
"3107","Ribes cereum","Ribes cereum"
"3108","Jamesia americana","Jamesia americana"
"3109","Acer glabrum","Acer glabrum"
"3110","Cystopteris fragilis","Cystopteris fragilis"
"3111","Maianthemum racemosum","Maianthemum racemosum"
"3112","Pinus ponderosa","Pinus ponderosa"
"3113","Penstemon virens","Penstemon virens"
"3114","Sedum lanceolatum","Sedum lanceolatum"
"3115","Arabis ×divaricarpa","Arabis ×divaricarpa"
"3116","Arabis holboellii","Arabis holboellii"
"3117","Poa nemoralis","Poa nemoralis"
"3118","Festuca saximontana","Festuca saximontana"
"3119","Ribes inerme","Ribes inerme"
"3120","Arceuthobium cyanocarpum","Arceuthobium cyanocarpum"
"3121","Vaccinium myrtillus","Vaccinium myrtillus"
"3122","Mahonia repens","Mahonia repens"
"3123","Calypso bulbosa","Calypso bulbosa"
"3124","Zigadenus venenosus","Zigadenus venenosus"
"3125","Erigeron formosissimus","Erigeron formosissimus"
"3126","Arceuthobium douglasii","Arceuthobium douglasii"
"3127","Bromus inermis","Bromus inermis"
"3128","Clematis ligusticifolia","Clematis ligusticifolia"
"3129","Pyrola picta","Pyrola picta"
"3130","Erigeron vetensis","Erigeron vetensis"
"3131","Heterotheca villosa","Heterotheca villosa"
"3132","Potentilla rupincola","Potentilla rupincola"
"3133","Gayophytum diffusum","Gayophytum diffusum"
"3134","Polygonum douglasii","Polygonum douglasii"
"3135","Ceanothus velutinus","Ceanothus velutinus"
"3136","Cryptantha virgata","Cryptantha virgata"
"3137","Aliciella pinnatifida","Aliciella pinnatifida"
"3138","Arabis fendleri","Arabis fendleri"
"3139","Tragopogon lamottei","Tragopogon lamottei"
"3140","Machaeranthera bigelovii","Machaeranthera bigelovii"
"3141","Senecio integerrimus","Senecio integerrimus"
"3142","Bromus lanatipes","Bromus lanatipes"
"3143","Cirsium clavatum","Cirsium clavatum"
"3144","Poa leptocoma/reflexa","Poa leptocoma/reflexa"
"3145","Salix amygdaloides","Salix amygdaloides"
"3146","Bromus ciliatus","Bromus ciliatus"
"3147","Polypodium saximontanum","Polypodium saximontanum"
"3148","Astragalus tenellus","Astragalus tenellus"
"3149","Elymus albicans","Elymus albicans"
"3150","Antennaria microphylla","Antennaria microphylla"
"3151","Heterotheca villosa","Heterotheca villosa"
"3152","Silene scouleri","Silene scouleri"
"3153","Allium cernuum","Allium cernuum"
"3154","Astragalus laxmannii","Astragalus laxmannii"
"3155","Astragalus laxmannii","Astragalus laxmannii"
"3156","Astragalus canadensis","Astragalus canadensis"
"3157","Castilleja miniata","Castilleja miniata"
"3158","Gaillardia aristata","Gaillardia aristata"
"3159","Oxytropis multiceps","Oxytropis multiceps"
"3160","Juniperus scopulorum","Juniperus scopulorum"
"3161","Eriogonum umbellatum","Eriogonum umbellatum"
"3162","Senecio rapifolius","Senecio rapifolius"
"3163","Artemisia campestris","Artemisia campestris"
"3164","Rhodiola rhodantha","Rhodiola rhodantha"
"3165","Scutellaria brittonii","Scutellaria brittonii"
"3166","Rubus deliciosus","Rubus deliciosus"
"3167","Chenopodium watsonii","Chenopodium watsonii"
"3168","Chenopodium capitatum","Chenopodium capitatum"
"3169","Danthonia parryi","Danthonia parryi"
"3170","Heuchera bracteata","Heuchera bracteata"
"3171","Arabis hirsuta","Arabis hirsuta"
"3172","Antennaria parvifolia","Antennaria parvifolia"
"3173","Festuca arizonica","Festuca arizonica"
"3174","Cirsium scariosum","Cirsium scariosum"
"3175","Achnatherum nelsonii","Achnatherum nelsonii"
"3176","Bromus porteri","Bromus porteri"
"3177","Carex praegracilis","Carex praegracilis"
"3178","Potentilla arguta","Potentilla arguta"
"3179","Ceanothus fendleri","Ceanothus fendleri"
"3180","Senecio bigelovii","Senecio bigelovii"
"3181","Geranium richardsonii","Geranium richardsonii"
"3182","Carex athrostachya","Carex athrostachya"
"3183","Oxytropis lambertii","Oxytropis lambertii"
"3184","Argentina anserina","Argentina anserina"
"3185","Castilleja sulphurea","Castilleja sulphurea"
"3186","Potentilla pensylvanica","Potentilla pensylvanica"
"3187","Arabis glabra","Arabis glabra"
"3188","Antennaria rosea","Antennaria rosea"
"3189","Antennaria anaphaloides","Antennaria anaphaloides"
"3190","Delphinium barbeyi","Delphinium barbeyi"
"3191","Geum macrophyllum","Geum macrophyllum"
"3192","Carex praticola","Carex praticola"
"3193","Senecio amplectens","Senecio amplectens"
"3194","Epilobium saximontanum","Epilobium saximontanum"
"3195","Rumex aquaticus","Rumex aquaticus"
"3196","Chenopodium fremontii","Chenopodium fremontii"
"3197","Dodecatheon pulchellum","Dodecatheon pulchellum"
"3198","Primula parryi","Primula parryi"
"3199","Poa annua","Poa annua"
"3200","Iris missouriensis","Iris missouriensis"
"3201","Senecio atratus","Senecio atratus"
"3202","Polygonum perfoliatum","Polygonum perfoliatum"
"3203","Uvularia perfoliata","Uvularia perfoliata"
"3204","Sanicula canadensis","Sanicula canadensis"
"3205","Viola pubescens","Viola pubescens"
"3206","Paronychia canadensis","Paronychia canadensis"
"3207","Carex laxiflora","Carex laxiflora"
"3208","Muhlenbergia tenuiflora","Muhlenbergia tenuiflora"
"3209","Phytolacca americana","Phytolacca americana"
"3210","Rosa micrantha","Rosa micrantha"
"3211","Ulmus pumila","Ulmus pumila"
"3212","Trichophorum planifolium","Trichophorum planifolium"
"3213","Geranium columbinum","Geranium columbinum"
"3214","Monarda fistulosa","Monarda fistulosa"
"3215","Desmodium canadense","Desmodium canadense"
"3216","Carex muehlenbergii","Carex muehlenbergii"
"3217","Monarda bradburiana","Monarda bradburiana"
"3218","Leonurus cardiaca","Leonurus cardiaca"
"3219","Solanum capsicoides","Solanum capsicoides"
"3220","Alternanthera caracasana","Alternanthera caracasana"
"3221","Hypericum nudiflorum","Hypericum nudiflorum"
"3222","Centaurea stoebe","Centaurea stoebe"
"3223","Dipsacus laciniatus","Dipsacus laciniatus"
"3224","Broussonetia papyrifera","Broussonetia papyrifera"
"3225","Calystegia silvatica","Calystegia silvatica"
"3226","Catananche caerulea","Catananche caerulea"
"3227","Veronica hederifolia","Veronica hederifolia"
"3228","Consolida ajacis","Consolida ajacis"
"3229","Potentilla canadensis","Potentilla canadensis"
"3230","Pentodon pentandrus","Pentodon pentandrus"
"3231","Cyperus pilosus","Cyperus pilosus"
"3232","Carya texana","Carya texana"
"3233","Anemone virginiana","Anemone virginiana"
"3234","Geum virginianum","Geum virginianum"
"3235","Carex conjuncta","Carex conjuncta"
"3236","Colchicum autumnale","Colchicum autumnale"
"3237","Pycnanthemum incanum","Pycnanthemum incanum"
"3238","Carex gracilescens","Carex gracilescens"
"3239","Lathyrus aphaca","Lathyrus aphaca"
"3240","Viola arvensis","Viola arvensis"
"3241","Heuchera americana","Heuchera americana"
"3242","Cynoglossum officinale","Cynoglossum officinale"
"3243","Lepidium campestre","Lepidium campestre"
"3244","Ligustrum vulgare","Ligustrum vulgare"
"3245","Mitracarpus hirtus","Mitracarpus hirtus"
"3246","Letharia vulpina","Letharia vulpina"
"3247","Monarda fistulosa","Monarda fistulosa"
"3248","Calystegia silvatica","Calystegia silvatica"
"3249","Neotorularia humilis","Neotorularia humilis"
"3250","Muhlenbergia frondosa","Muhlenbergia frondosa"
"3251","Acacia macracantha","Acacia macracantha"
"3252","Echium vulgare","Echium vulgare"
"3253","Sicyos angulatus","Sicyos angulatus"
"3254","Syringa vulgaris","Syringa vulgaris"
"3255","Heliopsis helianthoides","Heliopsis helianthoides"
"3256","Belamcanda chinensis","Belamcanda chinensis"
"3257","Heuchera villosa","Heuchera villosa"
"3258","Humulus japonicus","Humulus japonicus"
"3259","Humulus lupulus","Humulus lupulus"
"3260","Obolaria virginica","Obolaria virginica"
"3261","Platanthera lacera","Platanthera lacera"
"3262","Ranunculus muricatus","Ranunculus muricatus"
"3263","Myosotis laxa","Myosotis laxa"
"3264","Youngia japonica","Youngia japonica"
"3265","Calluna vulgaris","Calluna vulgaris"
"3266","Portulaca oleracea","Portulaca oleracea"
"3267","Amaranthus hybridus","Amaranthus hybridus"
"3268","Urochloa platyphylla","Urochloa platyphylla"
"3269","Capsella bursa-pastoris","Capsella bursa-pastoris"
"3270","Spergula arvensis","Spergula arvensis"
"3271","Thelypteris palustris","Thelypteris palustris"
"3272","Carex aureolensis","Carex aureolensis"
"3273","Cardamine angustata","Cardamine angustata"
"3274","Scirpus polyphyllus","Scirpus polyphyllus"
"3275","Desmodium incanum","Desmodium incanum"
"3276","Rhodotypos scandens","Rhodotypos scandens"
"3277","Echinocystis lobata","Echinocystis lobata"
"3278","Paulownia tomentosa","Paulownia tomentosa"
"3279","Viola tricolor","Viola tricolor"
"3280","Claytonia virginica","Claytonia virginica"
"3281","Acer palmatum","Acer palmatum"
"3282","Ulmus parvifolia","Ulmus parvifolia"
"3283","Eragrostis cilianensis","Eragrostis cilianensis"
"3284","Phalaris arundinacea","Phalaris arundinacea"
"3285","Viola triloba","Viola triloba"
"3286","Linum striatum","Linum striatum"
"3287","Castilleja attenuata","Castilleja attenuata"
"3288","Oxalis radicosa","Oxalis radicosa"
"3289","Croton setigerus","Croton setigerus"
"3290","Hordeum marinum","Hordeum marinum"
"3291","Hordeum murinum","Hordeum murinum"
"3292","Plagiobothrys canescens","Plagiobothrys canescens"
"3293","Plagiobothrys nothofulvus","Plagiobothrys nothofulvus"
"3294","Avena barbata","Avena barbata"
"3295","Bromus diandrus","Bromus diandrus"
"3296","Erodium botrys","Erodium botrys"
"3297","Trifolium ciliolatum","Trifolium ciliolatum"
"3298","Calandrinia ciliata","Calandrinia ciliata"
"3299","Trifolium microcephalum","Trifolium microcephalum"
"3300","Trifolium willdenovii","Trifolium willdenovii"
"3301","Silene gallica","Silene gallica"
"3302","Amsinckia menziesii","Amsinckia menziesii"
"3303","Juncus bufonius","Juncus bufonius"
"3304","Lotus unifoliolatus","Lotus unifoliolatus"
"3305","Bromus arenarius","Bromus arenarius"
"3306","Dichelostemma capitatum","Dichelostemma capitatum"
"3307","Quercus wislizeni","Quercus wislizeni"
"3308","Carduus pycnocephalus","Carduus pycnocephalus"
"3309","Lupinus bicolor","Lupinus bicolor"
"3310","Amsinckia menziesii","Amsinckia menziesii"
"3311","Lotus strigosus","Lotus strigosus"
"3312","Muilla maritima","Muilla maritima"
"3313","Claytonia parviflora","Claytonia parviflora"
"3314","Phacelia cicutaria","Phacelia cicutaria"
"3315","Pterostegia drymarioides","Pterostegia drymarioides"
"3316","Hordeum marinum","Hordeum marinum"
"3317","Lupinus benthamii","Lupinus benthamii"
"3318","Clarkia purpurea","Clarkia purpurea"
"3319","Claytonia perfoliata","Claytonia perfoliata"
"3320","Galium parisiense","Galium parisiense"
"3321","Crassula connata","Crassula connata"
"3322","Phoradendron villosum","Phoradendron villosum"
"3323","Crassula connata","Crassula connata"
"3324","Sisymbrium officinale","Sisymbrium officinale"
"3325","Lotus wrangelianus","Lotus wrangelianus"
"3326","Pentagramma triangularis","Pentagramma triangularis"
"3327","Plagiobothrys distantiflorus","Plagiobothrys distantiflorus"
"3328","Thysanocarpus curvipes","Thysanocarpus curvipes"
"3329","Callitriche marginata","Callitriche marginata"
"3330","Chlorogalum pomeridianum","Chlorogalum pomeridianum"
"3331","Minuartia douglasii","Minuartia douglasii"
"3332","Hordeum murinum","Hordeum murinum"
"3333","Pinus sabiniana","Pinus sabiniana"
"3334","Trifolium obtusiflorum","Trifolium obtusiflorum"
"3335","Briza minor","Briza minor"
"3336","Eleocharis macrostachya","Eleocharis macrostachya"
"3337","Plantago erecta","Plantago erecta"
"3338","Logfia gallica","Logfia gallica"
"3339","Quercus douglasii","Quercus douglasii"
"3340","Triteleia laxa","Triteleia laxa"
"3341","Leptosiphon ciliatus","Leptosiphon ciliatus"
"3342","Pellaea mucronata","Pellaea mucronata"
"3343","Lepidium nitidum","Lepidium nitidum"
"3344","Triteleia ixioides","Triteleia ixioides"
"3345","Datura wrightii","Datura wrightii"
"3346","Lythrum hyssopifolium","Lythrum hyssopifolium"
"3347","Torilis arvensis","Torilis arvensis"
"3348","Cirsium occidentale","Cirsium occidentale"
"3349","Gnaphalium palustre","Gnaphalium palustre"
"3350","Centaurea melitensis","Centaurea melitensis"
"3351","Senecio flaccidus","Senecio flaccidus"
"3352","Castilleja lineariiloba","Castilleja lineariiloba"
"3353","Centaurium erythraea","Centaurium erythraea"
"3354","Layia pentachaeta","Layia pentachaeta"
"3355","Erodium moschatum","Erodium moschatum"
"3356","Cirsium occidentale","Cirsium occidentale"
"3357","Senecio flaccidus","Senecio flaccidus"
"3358","Phacelia vallis-mortae","Phacelia vallis-mortae"
"3359","Matricaria discoidea","Matricaria discoidea"
"3360","Ceanothus cuneatus","Ceanothus cuneatus"
"3361","Dichelostemma capitatum","Dichelostemma capitatum"
"3362","Clarkia purpurea","Clarkia purpurea"
"3363","Gilia tricolor","Gilia tricolor"
"3364","Clarkia dudleyana","Clarkia dudleyana"
"3365","Acorus americanus","Acorus americanus"
"3366","Chorizanthe membranacea","Chorizanthe membranacea"
"3367","Micropus californicus","Micropus californicus"
"3368","Gilia capitata","Gilia capitata"
"3369","Delphinium hansenii","Delphinium hansenii"
"3370","Frangula californica","Frangula californica"
"3371","Clarkia unguiculata","Clarkia unguiculata"
"3372","Dichelostemma volubile","Dichelostemma volubile"
"3373","Nemophila menziesii","Nemophila menziesii"
"3374","Lithophragma bolanderi","Lithophragma bolanderi"
"3375","Sanicula tuberosa","Sanicula tuberosa"
"3376","Eriogonum roseum","Eriogonum roseum"
"3377","Rhamnus ilicifolia","Rhamnus ilicifolia"
"3378","Plagiobothrys tenellus","Plagiobothrys tenellus"
"3379","Layia pentachaeta","Layia pentachaeta"
"3380","Nemophila pulchella","Nemophila pulchella"
"3381","Toxicodendron diversilobum","Toxicodendron diversilobum"
"3382","Claytonia perfoliata","Claytonia perfoliata"
"3383","Microseris lindleyi","Microseris lindleyi"
"3384","Nemophila heterophylla","Nemophila heterophylla"
"3385","Lotus micranthus","Lotus micranthus"
"3386","Pseudognaphalium californicum","Pseudognaphalium californicum"
"3387","Scrophularia californica","Scrophularia californica"
"3388","Arceuthobium campylopodum","Arceuthobium campylopodum"
"3389","Madia elegans","Madia elegans"
"3390","Eschscholzia lobbii","Eschscholzia lobbii"
"3391","Perideridia pringlei","Perideridia pringlei"
"3392","Ceanothus leucodermis","Ceanothus leucodermis"
"3393","Arctostaphylos viscida","Arctostaphylos viscida"
"3394","Gastridium phleoides","Gastridium phleoides"
"3395","Saxifraga californica","Saxifraga californica"
"3396","Montia fontana","Montia fontana"
"3397","Silybum marianum","Silybum marianum"
"3398","Trifolium subterraneum","Trifolium subterraneum"
"3399","Stellaria nitens","Stellaria nitens"
"3400","Tropidocarpum gracile","Tropidocarpum gracile"
"3401","Collinsia heterophylla","Collinsia heterophylla"
"3402","Stylomecon heterophylla","Stylomecon heterophylla"
"3403","Nemophila pulchella","Nemophila pulchella"
"3404","Pholistoma auritum","Pholistoma auritum"
"3405","Aesculus californica","Aesculus californica"
"3406","Castilleja exserta","Castilleja exserta"
"3407","Eschscholzia californica","Eschscholzia californica"
"3408","Collinsia heterophylla","Collinsia heterophylla"
"3409","Castilleja exserta","Castilleja exserta"
"3410","Phacelia platyloba","Phacelia platyloba"
"3411","Caulanthus coulteri","Caulanthus coulteri"
"3412","Trifolium macrocephalum","Trifolium macrocephalum"
"3413","Lupinus nanus","Lupinus nanus"
"3414","Marah horridus","Marah horridus"
"3415","Lupinus formosus","Lupinus formosus"
"3416","Brodiaea terrestris","Brodiaea terrestris"
"3417","Brodiaea elegans","Brodiaea elegans"
"3418","Brodiaea coronaria","Brodiaea coronaria"
"3419","Lupinus albifrons","Lupinus albifrons"
"3420","Eriophyllum confertiflorum","Eriophyllum confertiflorum"
"3421","Scutellaria tuberosa","Scutellaria tuberosa"
"3422","Amsinckia eastwoodiae","Amsinckia eastwoodiae"
"3423","Galium bolanderi","Galium bolanderi"
"3424","Lithophragma heterophyllum","Lithophragma heterophyllum"
"3425","Erodium brachycarpum","Erodium brachycarpum"
"3426","Stellaria media","Stellaria media"
"3427","Plagiobothrys collinus","Plagiobothrys collinus"
"3428","Ceanothus gloriosus","Ceanothus gloriosus"
"3429","Dicoria canescens","Dicoria canescens"
"3430","Ranunculus aquatilis","Ranunculus aquatilis"
"3431","Allium hyalinum","Allium hyalinum"
"3432","Scutellaria bolanderi","Scutellaria bolanderi"
"3433","Plectritis ciliosa","Plectritis ciliosa"
"3434","Lasthenia debilis","Lasthenia debilis"
"3435","Eriophyllum confertiflorum","Eriophyllum confertiflorum"
"3436","Distichium capillaceum","Distichium capillaceum"
"3437","Farnoldia micropsis","Farnoldia micropsis"
"3438","Leptosiphon ciliatus","Leptosiphon ciliatus"
"3439","Aira caryophyllea","Aira caryophyllea"
"3440","Claytonia perfoliata","Claytonia perfoliata"
"3441","Pentagramma triangularis","Pentagramma triangularis"
"3442","Lewisia triphylla","Lewisia triphylla"
"3443","Clinopodium douglasii","Clinopodium douglasii"
"3444","Pentagramma triangularis","Pentagramma triangularis"
"3445","Hirschfeldia incana","Hirschfeldia incana"
"3446","Platystemon californicus","Platystemon californicus"
"3447","Stachys mexicana","Stachys mexicana"
"3448","Bromus carinatus","Bromus carinatus"
"3449","Pinus ponderosa","Pinus ponderosa"
"3450","Calocedrus decurrens","Calocedrus decurrens"
"3451","Carex multicaulis","Carex multicaulis"
"3452","Rosa bridgesii","Rosa bridgesii"
"3453","Elymus glaucus","Elymus glaucus"
"3454","Potentilla glandulosa","Potentilla glandulosa"
"3455","Chamaebatia foliolosa","Chamaebatia foliolosa"
"3456","Iris hartwegii","Iris hartwegii"
"3457","Ceanothus integerrimus","Ceanothus integerrimus"
"3458","Quercus chrysolepis","Quercus chrysolepis"
"3459","Quercus kelloggii","Quercus kelloggii"
"3460","Ribes roezlii","Ribes roezlii"
"3461","Cercocarpus montanus","Cercocarpus montanus"
"3462","Lonicera interrupta","Lonicera interrupta"
"3463","Agoseris retrorsa","Agoseris retrorsa"
"3464","Collinsia tinctoria","Collinsia tinctoria"
"3465","Epilobium foliosum","Epilobium foliosum"
"3466","Abies lowiana","Abies lowiana"
"3467","Mimulus bicolor","Mimulus bicolor"
"3468","Triteleia ixioides","Triteleia ixioides"
"3469","Lathyrus sulphureus","Lathyrus sulphureus"
"3470","Cryptantha affinis","Cryptantha affinis"
"3471","Trisetum canescens","Trisetum canescens"
"3472","Umbellularia californica","Umbellularia californica"
"3473","Pinus lambertiana","Pinus lambertiana"
"3474","Lathyrus lanszwertii","Lathyrus lanszwertii"
"3475","Fritillaria micrantha","Fritillaria micrantha"
"3476","Lathyrus nevadensis","Lathyrus nevadensis"
"3477","Allophyllum gilioides","Allophyllum gilioides"
"3478","Comandra umbellata","Comandra umbellata"
"3479","Dryopteris arguta","Dryopteris arguta"
"3480","Rubus glaucifolius","Rubus glaucifolius"
"3481","Apiastrum angustifolium","Apiastrum angustifolium"
"3482","Montia parvifolia","Montia parvifolia"
"3483","Hypericum anagalloides","Hypericum anagalloides"
"3484","Trichostema oblongum","Trichostema oblongum"
"3485","Clarkia heterandra","Clarkia heterandra"
"3486","Sedella pumila","Sedella pumila"
"3487","Allium abramsii","Allium abramsii"
"3488","Streptanthus diversifolius","Streptanthus diversifolius"
"3489","Lotus argophyllus","Lotus argophyllus"
"3490","Asarum hartwegii","Asarum hartwegii"
"3491","Heterocodon rariflorum","Heterocodon rariflorum"
"3492","Nemophila maculata","Nemophila maculata"
"3493","Potentilla glandulosa","Potentilla glandulosa"
"3494","Ceanothus diversifolius","Ceanothus diversifolius"
"3495","Agoseris heterophylla","Agoseris heterophylla"
"3496","Sonchus oleraceus","Sonchus oleraceus"
"3497","Osmorhiza brachypoda","Osmorhiza brachypoda"
"3498","Collomia grandiflora","Collomia grandiflora"
"3499","Quercus garryana","Quercus garryana"
"3500","Clarkia williamsonii","Clarkia williamsonii"
"3501","Pellaea mucronata","Pellaea mucronata"
"3502","Dudleya cymosa","Dudleya cymosa"
"3503","Triteleia hyacinthina","Triteleia hyacinthina"
"3504","Mimulus fremontii","Mimulus fremontii"
"3505","Cryptantha torreyana","Cryptantha torreyana"
"3506","Lathyrus nevadensis","Lathyrus nevadensis"
"3507","Prunus subcordata","Prunus subcordata"
"3508","Teucrium canadense","Teucrium canadense"
"3509","Carex densa","Carex densa"
"3510","Lotus crassifolius","Lotus crassifolius"
"3511","Bromus grandis","Bromus grandis"
"3512","Melica californica","Melica californica"
"3513","Calochortus venustus","Calochortus venustus"
"3514","Stephanomeria virgata","Stephanomeria virgata"
"3515","Hydrophyllum virginianum","Hydrophyllum virginianum"
"3516","Symphyotrichum ciliolatum","Symphyotrichum ciliolatum"
"3517","Eurybia macrophylla","Eurybia macrophylla"
"3518","Fraxinus nigra","Fraxinus nigra"
"3519","Taraxacum officinale","Taraxacum officinale"
"3520","Mitella nuda","Mitella nuda"
"3521","Uvularia grandiflora","Uvularia grandiflora"
"3522","Ribes americanum","Ribes americanum"
"3523","Dryopteris carthusiana","Dryopteris carthusiana"
"3524","Dirca palustris","Dirca palustris"
"3525","Dryopteris cristata","Dryopteris cristata"
"3526","Carex leptalea","Carex leptalea"
"3527","Phegopteris connectilis","Phegopteris connectilis"
"3528","Patis racemosa","Patis racemosa"
"3529","Carex interior","Carex interior"
"3530","Abies balsamea","Abies balsamea"
"3531","Hieracium aurantiacum","Hieracium aurantiacum"
"3532","Fragaria vesca","Fragaria vesca"
"3533","Agrimonia striata","Agrimonia striata"
"3534","Potentilla norvegica","Potentilla norvegica"
"3535","Poa nemoralis","Poa nemoralis"
"3536","Coptis trifolia","Coptis trifolia"
"3537","Carex deweyana","Carex deweyana"
"3538","Lotus corniculatus","Lotus corniculatus"
"3539","Ribes hudsonianum","Ribes hudsonianum"
"3540","Viola renifolia","Viola renifolia"
"3541","Galeopsis tetrahit","Galeopsis tetrahit"
"3542","Carex arcta","Carex arcta"
"3543","Quercus bicolor","Quercus bicolor"
"3544","Hieracium piloselloides","Hieracium piloselloides"
"3545","Allium tricoccum","Allium tricoccum"
"3546","Carex hirtifolia","Carex hirtifolia"
"3547","Prenanthes alba","Prenanthes alba"
"3548","Doellingeria umbellata","Doellingeria umbellata"
"3549","Lonicera hirsuta","Lonicera hirsuta"
"3550","Lonicera dioica","Lonicera dioica"
"3551","Cirsium palustre","Cirsium palustre"
"3552","Geum aleppicum","Geum aleppicum"
"3553","Trifolium hybridum","Trifolium hybridum"
"3554","Carex deflexa","Carex deflexa"
"3555","Geum laciniatum","Geum laciniatum"
"3556","Amelanchier stolonifera","Amelanchier stolonifera"
"3557","Viburnum rafinesqueanum","Viburnum rafinesqueanum"
"3558","Ranunculus acris","Ranunculus acris"
"3559","Myrica gale","Myrica gale"
"3560","Carex ormostachya","Carex ormostachya"
"3561","Polygonum convolvulus","Polygonum convolvulus"
"3562","Symphyotrichum puniceum","Symphyotrichum puniceum"
"3563","Thalictrum dasycarpum","Thalictrum dasycarpum"
"3564","Carex prairea","Carex prairea"
"3565","Eutrochium maculatum","Eutrochium maculatum"
"3566","Saxifraga pensylvanica","Saxifraga pensylvanica"
"3567","Caltha palustris","Caltha palustris"
"3568","Glyceria canadensis","Glyceria canadensis"
"3569","Scutellaria galericulata","Scutellaria galericulata"
"3570","Callitriche stagnalis","Callitriche stagnalis"
"3571","Scirpus atrocinctus","Scirpus atrocinctus"
"3572","Rumex orbiculatus","Rumex orbiculatus"
"3573","Dulichium arundinaceum","Dulichium arundinaceum"
"3574","Carex gynandra","Carex gynandra"
"3575","Lysimachia thyrsiflora","Lysimachia thyrsiflora"
"3576","Ribes lacustre","Ribes lacustre"
"3577","Dryopteris ×triploidea","Dryopteris ×triploidea"
"3578","Carex magellanica","Carex magellanica"
"3579","Kalmia polifolia","Kalmia polifolia"
"3580","Carex lacustris","Carex lacustris"
"3581","Lysimachia quadriflora","Lysimachia quadriflora"
"3582","Circaea ×intermedia","Circaea ×intermedia"
"3583","Euthamia graminifolia","Euthamia graminifolia"
"3584","Fragaria vesca","Fragaria vesca"
"3585","Amelanchier bartramiana","Amelanchier bartramiana"
"3586","Caulophyllum giganteum","Caulophyllum giganteum"
"3587","Symphyotrichum lanceolatum","Symphyotrichum lanceolatum"
"3588","Sanicula marilandica","Sanicula marilandica"
"3589","Helianthus maximiliani","Helianthus maximiliani"
"3590","Solanum dulcamara","Solanum dulcamara"
"3591","Symphyotrichum lanceolatum","Symphyotrichum lanceolatum"
"3592","Salix discolor","Salix discolor"
"3593","Cirsium muticum","Cirsium muticum"
"3594","Symphyotrichum puniceum","Symphyotrichum puniceum"
"3595","Utricularia macrorhiza","Utricularia macrorhiza"
"3596","Sorbus aucuparia","Sorbus aucuparia"
"3597","Juncus filiformis","Juncus filiformis"
"3598","Arabis hirsuta","Arabis hirsuta"
"3599","Myriotrema erodens","Myriotrema erodens"
"3600","Verbena officinalis","Verbena officinalis"
"3601","Quercus palustris","Quercus palustris"
"3602","Morella caroliniensis","Morella caroliniensis"
"3603","Cyrilla racemiflora","Cyrilla racemiflora"
"3604","Styrax americanus","Styrax americanus"
"3605","Osmunda regalis","Osmunda regalis"
"3606","Itea virginica","Itea virginica"
"3607","Halesia carolina","Halesia carolina"
"3608","Vitis rotundifolia","Vitis rotundifolia"
"3609","Aesculus pavia","Aesculus pavia"
"3610","Coreopsis auriculata","Coreopsis auriculata"
"3611","Danthonia sericea","Danthonia sericea"
"3612","Hydrangea cinerea","Hydrangea cinerea"
"3613","Gentiana villosa","Gentiana villosa"
"3614","Malaxis unifolia","Malaxis unifolia"
"3615","Pycnanthemum pycnanthemoides","Pycnanthemum pycnanthemoides"
"3616","Phlox divaricata","Phlox divaricata"
"3617","Morus rubra","Morus rubra"
"3618","Phlox pilosa","Phlox pilosa"
"3619","Dichanthelium laxiflorum","Dichanthelium laxiflorum"
"3620","Setaria scheelei","Setaria scheelei"
"3621","Nuttallanthus canadensis","Nuttallanthus canadensis"
"3622","Pseudognaphalium stramineum","Pseudognaphalium stramineum"
"3623","Dichanthelium scoparium","Dichanthelium scoparium"
"3624","Vitis vinifera","Vitis vinifera"
"3625","Dichanthelium scabriusculum","Dichanthelium scabriusculum"
"3626","Dichanthelium sabulorum","Dichanthelium sabulorum"
"3627","Quercus vaseyana","Quercus vaseyana"
"3628","Liatris squarrosa","Liatris squarrosa"
"3629","Viola pedata","Viola pedata"
"3630","Agalinis purpurea","Agalinis purpurea"
"3631","Agalinis setacea","Agalinis setacea"
"3632","Aureolaria pectinata","Aureolaria pectinata"
"3633","Aristida purpurascens","Aristida purpurascens"
"3634","Agalinis tenuifolia","Agalinis tenuifolia"
"3635","Dichanthelium depauperatum","Dichanthelium depauperatum"
"3636","Quercus mohriana","Quercus mohriana"
"3637","Eupatorium lancifolium","Eupatorium lancifolium"
"3638","Coreopsis pubescens","Coreopsis pubescens"
"3639","Sabatia calycina","Sabatia calycina"
"3640","Symphyotrichum pilosum","Symphyotrichum pilosum"
"3641","Hexastylis shuttleworthii","Hexastylis shuttleworthii"
"3642","Pycnanthemum incanum","Pycnanthemum incanum"
