"","x"
"937","Oldenlandia boscii"
"938","Galactia sp."
"939","Physalis longifolia"
"940","Prunus mexicana"
"941","Rhus sp."
"942","Sideroxylon lanuginosum"
"943","Euphorbia dentata"
"944","Commelina erecta"
"945","Cyperus echinatus"
"946","Elymus canadensis"
"947","Acalypha sp."
"948","Bouteloua gracilis"
"949","Desmodium sessilifolium"
"950","Sporobolus sp."
"951","Stylosanthes biflora"
"952","Pediomelum rhombifolium"
"953","Setaria parviflora"
"954","Sporobolus compositus"
"955","Verbesina helianthoides"
"956","Astranthium integrifolium"
"957","Bromus tectorum"
"958","Callicarpa americana"
"959","Spermolepis inermis"
"960","Astranthium integrifolium"
"961","Gamochaeta pensylvanica"
"962","Galium pilosum"
"963","Lepuropetalon spathulatum"
"964","Rudbeckia hirta"
"965","Ulmus crassifolia"
"966","Verbesina virginica"
"967","Lespedeza sp."
"968","Smilax bona-nox"
"969","Tradescantia ohiensis"
"970","Yucca sp."
"971","Cyperus retroflexus"
"972","Lespedeza procumbens"
"973","Yucca arkansana"
"974","Cornus drummondii"
"975","Frangula caroliniana"
"976","Crataegus crus-galli"
"977","Vernonia baldwinii"
"978","Centaurea americana"
"979","Viburnum rufidulum"
"980","Passiflora lutea"
"981","Rubus oklahomus"
"982","Rosa setigera"
"983","Cercis canadensis"
"984","Diodia sp."
"985","Rosa arkansana"
"986","Houstonia sp."
"987","Carya illinoinensis"
"988","Diospyros virginiana"
"989","Pyrrhopappus sp."
"990","Cnidoscolus texanus"
"991","Oxalis violacea"
"992","Rhynchosia latifolia"
"993","Hypericum hypericoides"
"994","Strophostyles leiosperma"
"995","Cirsium texanum"
"996","Elephantopus tomentosus"
"997","Clitoria mariana"
"998","Monarda fistulosa"
"999","Tragia betonicifolia"
"1000","Juncus inflexus"
"1001","Monarda citriodora"
"1002","Tragia ramosa"
"1003","Rhus glabra"
"1004","Acalypha gracilens"
"1005","Bidens frondosa"
"1006","Lactuca ludoviciana"
"1007","Cissus trifoliata"
"1008","Eupatorium serotinum"
"1009","Monarda punctata"
"1010","Sporobolus cryptandrus"
"1011","Hordeum pusillum"
"1012","Desmanthus sp."
"1013","Desmanthus illinoensis"
"1014","Rhus copallinum"
"1015","Poncirus trifoliata"
"1016","Gaura sp."
"1017","Prunus munsoniana"
"1018","Dichaetophora campestris"
"1019","Helenium amarum"
"1020","Digitaria cognata"
"1021","Eragrostis intermedia"
"1022","Heterotheca subaxillaris"
"1023","Juncus nodatus"
"1024","Prunus angustifolia"
"1025","Oligoneuron nitidum"
"1026","Bothriochloa ischaemum"
"1027","Brickellia eupatorioides"
"1028","Agrostis elliottiana"
"1029","Pyrrhopappus carolinianus"
"1030","Centaurium texense"
"1031","Bothriochloa bladhii"
