"Sedum ternatum,"
"Asarum canadense,"
"Trillium sessile,"
"Erigeron philadelphicus,"
"Impatiens capensis,"
"Campsis radicans,"
"Heliopsis helianthoides,"
"Acer saccharinum,"
"Sambucus nigra,"
"Liquidambar styraciflua,"
"Acer platanoides,"
"Carex mesochorea,"
"Vicia villosa,"
"Polygonum persicaria,"
"Cichorium intybus,"
"Cerastium fontanum,"
"Solanum carolinense,"
"Zea mays,"
"Setaria italica,"
"Convolvulus arvensis,"
"Abutilon theophrasti,"
"Linaria vulgaris,"
"Chenopodium album,"
"Amphicarpaea bracteata,"
"Gleditsia triacanthos,"
"Tetradium daniellii,"
"Bromus sterilis,"
"Nepeta cataria,"
"Liparis liliifolia,"
"Rubus parvifolius,"
"Acer negundo,"
"Torilis arvensis,"
"Avena sativa,"
"Setaria viridis,"
"Glycine max,"
"Malva neglecta,"
"Solanum nigrum,"
"Cornus unalaschkensis,"
"Vaccinium uliginosum,"
"Vaccinium vitis-idaea,"
"Betula neoalaskana,"
"Calamagrostis lapponica,"
"Picea mariana,"
"Calamagrostis canadensis,"
"Rosa acicularis,"
"Polygonum alpinum,"
"Salix bebbiana,"
"Carex lapponica,"
"Picea glauca,"
"Lycopodium complanatum,"
"Geocaulon lividum,"
"Lycopodium annotinum,"
"Ledum groenlandicum,"
"Lycopodium clavatum,"
"Alnus viridis,"
"Cornus suecica,"
"Andromeda polifolia,"
"Betula glandulosa/nana,"
"Carex bigelowii,"
"Ledum palustre,"
"Rubus chamaemorus,"
"Vaccinium oxycoccos,"
"Betula glandulosa,"
"Pinguicula villosa,"
"Pedicularis labradorica,"
"Empetrum nigrum,"
"Spiraea stevenii,"
"Arctagrostis latifolia,"
"Drosera rotundifolia,"
"Anthoxanthum monticola,"
"Carex stylosa,"
"Salix scouleriana,"
"Betula occidentalis,"
"Salix pulchra,"
"Equisetum sylvaticum,"
"Moehringia lateriflora,"
"Linnaea borealis,"
"Orthilia secunda,"
"Pedicularis lapponica,"
"Gymnocarpium dryopteris,"
"Luzula rufescens,"
"Festuca altaica,"
"Gymnocarpium robertianum,"
"Lycopodium dendroideum,"
"Poa alpina,"
"Populus balsamifera,"
"Chamaedaphne calyculata,"
"Epilobium palustre,"
"Salix pseudomonticola,"
"Eriophorum vaginatum,"
"Eriophorum angustifolium,"
"Salix arbusculoides,"
"Salix glauca,"
"Carex vaginata,"
"Carex capitata,"
"Salix richardsonii,"
"Polygonum bistorta,"
"Viburnum edule,"
"Ribes triste,"
"Lathyrus japonicus,"
"Carex microchaeta,"
"Salix athabascensis,"
"Salix alaxensis,"
"Salix hastata,"
"Pyrola grandiflora,"
"Calamagrostis canadensis,"
"Luzula divaricata,"
"Alnus incana,"
"Luzula multiflora,"
"Anemone richardsonii,"
"Anemone narcissiflora,"
"Larix laricina,"
"Ranunculus lapponicus,"
"Equisetum arvense,"
"Comarum palustre,"
"Eriophorum scheuchzeri,"
"Eriophorum russeolum,"
"Equisetum scirpoides,"
"Salix barclayi,"
"Calamagrostis stricta,"
"Asclepias verticillata,"
"Chamaecrista fasciculata,"
"Erigeron modestus,"
"Quercus stellata,"
"Sabatia campestris,"
"Asclepias stenophylla,"
"Asclepias tuberosa,"
"Lechea tenuifolia,"
"Opuntia macrorhiza,"
"Plantago virginica,"
"Chaetopappa asteroides,"
"Gaillardia aestivalis,"
